Date,GDP
1959/09/01,3922
1959/12/01,3995
1960/03/01,4060
1960/06/01,4265
1960/09/01,4307
1960/12/01,4325
1961/03/01,4328
1961/06/01,4229
1961/09/01,4243
1961/12/01,4263
1962/03/01,4399
1962/06/01,4498
1962/09/01,4569
1962/12/01,4675
1963/03/01,4817
1963/06/01,4784
1963/09/01,5060
1963/12/01,5132
1964/03/01,5199
1964/06/01,5383
1964/09/01,5476
1964/12/01,5634
1965/03/01,5732
1965/06/01,5845
1965/09/01,5873
1965/12/01,5926
1966/03/01,5967
1966/06/01,6115
1966/09/01,6413
1966/12/01,6551
1967/03/01,6792
1967/06/01,6834
1967/09/01,6953
1967/12/01,7076
1968/03/01,7196
1968/06/01,7370
1968/09/01,7613
1968/12/01,7999
1969/03/01,8118
1969/06/01,8328
1969/09/01,8677
1969/12/01,8883
1970/03/01,9133
1970/06/01,9439
1970/09/01,9519
1970/12/01,9678
1971/03/01,10084
1971/06/01,10292
1971/09/01,10699
1971/12/01,10711
1972/03/01,10920
1972/06/01,11333
1972/09/01,11508
1972/12/01,11923
1973/03/01,12423
1973/06/01,13061
1973/09/01,13705
1973/12/01,14701
1974/03/01,15231
1974/06/01,15367
1974/09/01,16395
1974/12/01,17287
1975/03/01,17640
1975/06/01,18468
1975/09/01,19078
1975/12/01,19994
1976/03/01,20795
1976/06/01,21843
1976/09/01,22580
1976/12/01,23282
1977/03/01,23767
1977/06/01,24596
1977/09/01,24924
1977/12/01,25245
1978/03/01,25955
1978/06/01,26852
1978/09/01,27613
1978/12/01,28437
1979/03/01,30089
1979/06/01,30338
1979/09/01,31437
1979/12/01,32763
1980/03/01,33554
1980/06/01,34271
1980/09/01,35486
1980/12/01,37130
1981/03/01,37784
1981/06/01,39345
1981/09/01,41296
1981/12/01,42625
1982/03/01,43384
1982/06/01,45138
1982/09/01,45592
1982/12/01,46341
1983/03/01,46659
1983/06/01,47271
1983/09/01,49647
1983/12/01,51428
1984/03/01,53683
1984/06/01,54722
1984/09/01,55467
1984/12/01,56090
1985/03/01,58550
1985/06/01,60698
1985/09/01,62273
1985/12/01,63019
1986/03/01,64442
1986/06/01,65438
1986/09/01,66577
1986/12/01,68811
1987/03/01,70762
1987/06/01,73366
1987/09/01,76159
1987/12/01,78715
1988/03/01,81300
1988/06/01,83198
1988/09/01,86293
1988/12/01,89322
1989/03/01,91440
1989/06/01,94865
1989/09/01,97139
1989/12/01,98225
1990/03/01,100240
1990/06/01,102119
1990/09/01,101813
1990/12/01,102509
1991/03/01,102151
1991/06/01,101846
1991/09/01,102571
1991/12/01,103787
1992/03/01,105071
1992/06/01,105473
1992/09/01,106622
1992/12/01,108769
1993/03/01,110733
1993/06/01,111510
1993/09/01,111571
1993/12/01,114040
1994/03/01,116091
1994/06/01,117848
1994/09/01,119742
1994/12/01,120775
1995/03/01,121814
1995/06/01,124178
1995/09/01,126359
1995/12/01,128329
1996/03/01,131261
1996/06/01,132381
1996/09/01,133778
1996/12/01,135391
1997/03/01,136452
1997/06/01,139954
1997/09/01,141485
1997/12/01,143956
1998/03/01,144956
1998/06/01,146547
1998/09/01,149694
1998/12/01,151476
1999/03/01,152895
1999/06/01,154060
1999/09/01,156524
1999/12/01,159480
2000/03/01,163450
2000/06/01,166474
2000/09/01,170106
2000/12/01,169603
2001/03/01,173411
2001/06/01,176261
2001/09/01,179408
2001/12/01,182094
2002/03/01,185553
2002/06/01,188723
2002/09/01,191111
2002/12/01,193777
2003/03/01,197184
2003/06/01,198755
2003/09/01,203950
2003/12/01,209707
2004/03/01,213479
2004/06/01,215851
2004/09/01,218641
2004/12/01,221684
2005/03/01,225565
2005/06/01,231659
2005/09/01,235746
2005/12/01,240789
2006/03/01,243682
2006/06/01,247537
2006/09/01,253158
2006/12/01,258178
2007/03/01,264603
2007/06/01,268017
2007/09/01,273108
2007/12/01,279039
2008/03/01,284581
2008/06/01,294472
2008/09/01,302976
2008/12/01,302289
2009/03/01,300330
